date,product_id,store_id,sales,promo,is_holiday
2025-04-01,P001,S001,32,0,0
2025-04-01,P001,S002,40,0,0
2025-04-01,P001,S003,31,0,0
2025-04-01,P001,S004,30,0,0
2025-04-01,P001,S005,33,0,0
2025-04-01,P002,S001,66,1,0
2025-04-01,P002,S002,35,0,0
2025-04-01,P002,S003,37,0,0
2025-04-01,P002,S004,20,0,0
2025-04-01,P002,S005,31,0,0
2025-04-01,P003,S001,24,0,0
2025-04-01,P003,S002,45,0,0
2025-04-01,P003,S003,57,1,0
2025-04-01,P003,S004,26,0,0
2025-04-01,P003,S005,22,0,0
2025-04-01,P004,S001,62,1,0
2025-04-01,P004,S002,22,0,0
2025-04-01,P004,S003,22,0,0
2025-04-01,P004,S004,21,0,0
2025-04-01,P004,S005,36,0,0
2025-04-01,P005,S001,32,0,0
2025-04-01,P005,S002,25,0,0
2025-04-01,P005,S003,44,0,0
2025-04-01,P005,S004,50,1,0
2025-04-01,P005,S005,43,1,0
2025-04-01,P006,S001,11,0,0
2025-04-01,P006,S002,23,0,0
2025-04-01,P006,S003,23,0,0
2025-04-01,P006,S004,33,1,0
2025-04-01,P006,S005,18,0,0
2025-04-01,P007,S001,34,0,0
2025-04-01,P007,S002,26,0,0
2025-04-01,P007,S003,43,0,0
2025-04-01,P007,S004,36,0,0
2025-04-01,P007,S005,63,1,0
2025-04-01,P008,S001,22,0,0
2025-04-01,P008,S002,25,0,0
2025-04-01,P008,S003,23,0,0
2025-04-01,P008,S004,31,0,0
2025-04-01,P008,S005,32,0,0
2025-04-01,P009,S001,45,1,0
2025-04-01,P009,S002,21,0,0
2025-04-01,P009,S003,52,1,0
2025-04-01,P009,S004,12,0,0
2025-04-01,P009,S005,41,0,0
2025-04-01,P010,S001,17,0,0
2025-04-01,P010,S002,40,0,0
2025-04-01,P010,S003,45,0,0
2025-04-01,P010,S004,30,0,0
2025-04-01,P010,S005,46,0,0
2025-04-02,P001,S001,21,0,0
2025-04-02,P001,S002,57,0,0
2025-04-02,P001,S003,36,0,0
2025-04-02,P001,S004,22,0,0
2025-04-02,P001,S005,28,0,0
2025-04-02,P002,S001,39,0,0
2025-04-02,P002,S002,15,0,0
2025-04-02,P002,S003,34,0,0
2025-04-02,P002,S004,25,0,0
2025-04-02,P002,S005,42,0,0
2025-04-02,P003,S001,49,1,0
2025-04-02,P003,S002,40,0,0
2025-04-02,P003,S003,28,0,0
2025-04-02,P003,S004,47,0,0
2025-04-02,P003,S005,24,0,0
2025-04-02,P004,S001,55,1,0
2025-04-02,P004,S002,21,0,0
2025-04-02,P004,S003,21,0,0
2025-04-02,P004,S004,28,0,0
2025-04-02,P004,S005,42,0,0
2025-04-02,P005,S001,18,0,0
2025-04-02,P005,S002,40,0,0
2025-04-02,P005,S003,27,0,0
2025-04-02,P005,S004,12,0,0
2025-04-02,P005,S005,51,1,0
2025-04-02,P006,S001,27,0,0
2025-04-02,P006,S002,41,0,0
2025-04-02,P006,S003,40,0,0
2025-04-02,P006,S004,41,0,0
2025-04-02,P006,S005,30,0,0
2025-04-02,P007,S001,40,0,0
2025-04-02,P007,S002,37,0,0
2025-04-02,P007,S003,53,0,0
2025-04-02,P007,S004,22,0,0
2025-04-02,P007,S005,32,0,0
2025-04-02,P008,S001,45,1,0
2025-04-02,P008,S002,36,0,0
2025-04-02,P008,S003,38,1,0
2025-04-02,P008,S004,26,0,0
2025-04-02,P008,S005,16,0,0
2025-04-02,P009,S001,28,0,0
2025-04-02,P009,S002,29,0,0
2025-04-02,P009,S003,47,0,0
2025-04-02,P009,S004,48,0,0
2025-04-02,P009,S005,42,0,0
2025-04-02,P010,S001,28,0,0
2025-04-02,P010,S002,39,0,0
2025-04-02,P010,S003,43,1,0
2025-04-02,P010,S004,30,0,0
2025-04-02,P010,S005,30,0,0
2025-04-03,P001,S001,39,1,0
2025-04-03,P001,S002,44,0,0
2025-04-03,P001,S003,37,1,0
2025-04-03,P001,S004,34,0,0
2025-04-03,P001,S005,45,0,0
2025-04-03,P002,S001,47,0,0
2025-04-03,P002,S002,15,0,0
2025-04-03,P002,S003,50,1,0
2025-04-03,P002,S004,31,0,0
2025-04-03,P002,S005,45,0,0
2025-04-03,P003,S001,34,0,0
2025-04-03,P003,S002,26,0,0
2025-04-03,P003,S003,30,0,0
2025-04-03,P003,S004,58,1,0
2025-04-03,P003,S005,51,0,0
2025-04-03,P004,S001,30,0,0
2025-04-03,P004,S002,27,0,0
2025-04-03,P004,S003,48,0,0
2025-04-03,P004,S004,25,0,0
2025-04-03,P004,S005,64,1,0
2025-04-03,P005,S001,26,0,0
2025-04-03,P005,S002,26,0,0
2025-04-03,P005,S003,55,1,0
2025-04-03,P005,S004,15,0,0
2025-04-03,P005,S005,30,0,0
2025-04-03,P006,S001,24,0,0
2025-04-03,P006,S002,41,0,0
2025-04-03,P006,S003,50,0,0
2025-04-03,P006,S004,51,0,0
2025-04-03,P006,S005,48,0,0
2025-04-03,P007,S001,32,0,0
2025-04-03,P007,S002,34,0,0
2025-04-03,P007,S003,56,1,0
2025-04-03,P007,S004,27,0,0
2025-04-03,P007,S005,33,0,0
2025-04-03,P008,S001,51,0,0
2025-04-03,P008,S002,28,0,0
2025-04-03,P008,S003,58,1,0
2025-04-03,P008,S004,60,1,0
2025-04-03,P008,S005,28,0,0
2025-04-03,P009,S001,39,0,0
2025-04-03,P009,S002,43,0,0
2025-04-03,P009,S003,44,1,0
2025-04-03,P009,S004,71,1,0
2025-04-03,P009,S005,17,0,0
2025-04-03,P010,S001,29,0,0
2025-04-03,P010,S002,19,0,0
2025-04-03,P010,S003,23,0,0
2025-04-03,P010,S004,26,0,0
2025-04-03,P010,S005,29,0,0
2025-04-04,P001,S001,39,0,0
2025-04-04,P001,S002,31,0,0
2025-04-04,P001,S003,24,0,0
2025-04-04,P001,S004,35,0,0
2025-04-04,P001,S005,45,0,0
2025-04-04,P002,S001,37,0,0
2025-04-04,P002,S002,28,0,0
2025-04-04,P002,S003,26,0,0
2025-04-04,P002,S004,45,0,0
2025-04-04,P002,S005,21,0,0
2025-04-04,P003,S001,43,0,0
2025-04-04,P003,S002,55,1,0
2025-04-04,P003,S003,39,0,0
2025-04-04,P003,S004,19,0,0
2025-04-04,P003,S005,52,0,0
2025-04-04,P004,S001,27,0,0
2025-04-04,P004,S002,39,0,0
2025-04-04,P004,S003,60,1,0
2025-04-04,P004,S004,52,1,0
2025-04-04,P004,S005,21,0,0
2025-04-04,P005,S001,20,0,0
2025-04-04,P005,S002,28,0,0
2025-04-04,P005,S003,43,0,0
2025-04-04,P005,S004,48,0,0
2025-04-04,P005,S005,58,0,0
2025-04-04,P006,S001,39,1,0
2025-04-04,P006,S002,34,0,0
2025-04-04,P006,S003,20,0,0
2025-04-04,P006,S004,43,1,0
2025-04-04,P006,S005,33,0,0
2025-04-04,P007,S001,50,0,0
2025-04-04,P007,S002,45,0,0
2025-04-04,P007,S003,35,1,0
2025-04-04,P007,S004,57,1,0
2025-04-04,P007,S005,43,0,0
2025-04-04,P008,S001,52,1,0
2025-04-04,P008,S002,38,0,0
2025-04-04,P008,S003,22,0,0
2025-04-04,P008,S004,35,0,0
2025-04-04,P008,S005,37,0,0
2025-04-04,P009,S001,47,1,0
2025-04-04,P009,S002,35,0,0
2025-04-04,P009,S003,44,0,0
2025-04-04,P009,S004,13,0,0
2025-04-04,P009,S005,43,1,0
2025-04-04,P010,S001,56,1,0
2025-04-04,P010,S002,53,1,0
2025-04-04,P010,S003,18,0,0
2025-04-04,P010,S004,30,0,0
2025-04-04,P010,S005,36,0,0
2025-04-05,P001,S001,25,0,0
